Title,Link,Cleaned_Content
Flexible Efficient Electrification of Industrial Heat Cases,https://ispt.eu/projects/flexible-efficient-electrification-of-industrial-heat-cases/,"Flexible Efficient Electrification Industrial Heat Cases HP-50-02 Start date November 13, 2023 Electrification heat-driven process needed substantial reduction CO2 emissions. However, challenge efficiently move full electrification coping high variability availability price electricity. Additionally, co-existence natural gas boiler grid connection limitations. project develop potential route based available technology two virtual public simulation cases. simulationas enable partner share promote expertise without disclose confidential information. short: project develop innovative process design solving efficient flexible electrification challenge design simulated two distinct virtual cases: agro-food chemicals, allowing open innovation industry, technology supplier technology expert participate sharing knowledge expertise Increased efficiency flexible electrification heat-driven process save substantial amount energy. contributes CO2-neutral industrial heat system impact efficient flexible electrification Large-scale electrification industry necessary achieving CO2 reduction gas dependency reduction. However, moving towards full electrification, natural gas boiler still co-exist grid connection limited, challenging. Moreover, company struggle high variability price electricity. development collaborative insight help overcome challenge usually requires disclosure confidential process information. reason, Flexible Efficient Electrification Industrial Heat Cases project develops two different simulation allow company share insight specific challenge industrial heat driven processes, without share company specific confidential information. open innovation concept also allows technology supplier cooperate communicate concrete solution realistic recognizable industrial processes. project, industry get insight potential combination available technology solve challenge heat-driven process achieve efficient flexible electrification. stimulate CO2-neutral industrial heat system. Two virtual case aim project develop innovative process design solving efficient flexible electrification challenge agro-food chemical industry processes. Together FME, ISPT set two realistic virtual cases. case meant inspirational realistic example industries. include relevant heat-related unit operation agro-food chemical production process. setting case virtually, possible share information data unit operation possible smart solution electrification, even solution heart production process. Chemistry Agro-Food activity Throughout initiative consortium focus on: Joint development process industry technology supplier two real public cases. collaboration includes development possible process design new technology renewable energy, electrification, energy storage. Communication dissemination open publication regular joint physical meeting consortium. aim present discus interim result potential solution external organization student groups. expected result series in-depth meeting case, industry (agro-food chemicals), technology suppliers, technology expert work together develop innovative solutions. approach case different angles, perspective conditions. solution incorporate technology are, soon be, available. Moreover, various challenge considered, as: transition zero-emission, integration congested grid, growing supply renewables, local restriction opportunities. Potential element solution include hybridisation, temporary scaling process time shortage, energy storage capture surpluses, local renewable energy generation heat pump efficient electrification heat driven processes. Also interesting read Heat On! project part Heat Integration Platform October 8, 2024 Help u find optimal solution Industrial Heat Cases Join u tackling challenge industrial electrification flexibilization! chance explore opportunity technology expand network connecting industry expert and... Antonie de Haas Program Officer (Circular Carbon, Digitalisation) +31 6 1269 9020 antonie.dehaas@ispt.eu Annita Westenbroek"
FUSE – FUll ScalE Industrial Heat Pump Using Natural Refrigerants,https://ispt.eu/projects/fuse/,"FUSE – FUll ScalE Industrial Heat Pump Using Natural Refrigerants UH-30-05 Supporting development success industrial heat pump market develeopment standardized, modular, flexible compression heat pump technology. Incentive High temperature industrial heat pump emerging technology play decisive role providing sustainable solution industrial heat demand 200°C. Previous ISPT TKI E&I project (CATCH-IT, STEPS) demonstrated operation pilot scale compression heat pump industrial applications, however CAPEX cost order 500 €/kWth proved prohibitive market introduction. Market cost reduction study CRUISE project (ongoing) revealed typical industrial capacity 1-10 MWth lack standardization unit use flammable refrigerant important cost determining factors. However, use non-flammable synthetic working medium (HFOs) still pose concern long term sustainable solution. development success industrial heat pump market indeed dependent ability produce standardized, modular, flexible compression heat pump technology scale level 1-10 MWth us natural refrigerant low CAPEX. Objectives specific goal achieved within duration FUSE project defined follows: Develop full-scale (1-2 MW), steam producing, industrial heat pump using natural working medium us waste heat source range 60°C-90°C produce medium pressure steam (range 2-5 bar) specific investment cost < 200 €/kWth (excluding integration). Develop modular compression heat pump design utilizing limited number standardized component configured numerous way cover > 70% industrial heat pump market. enables series production therewith low cost (< 200 €/kWth) offer still flexibility respect operating condition (power, temperature). Establish Dutch manufacturer (Heinen & Hopman) standardized, modular, flexible compression heat pump. Establish heat pump performance variety simulated (industrial process data) static dynamical condition ECN part TNO, field test condition DOW Terneuzen site. Activities Within project, consortium Dutch partner cooperate accelerate uptake industrial heat pump using natural working media. full scale (1-2 MWth) compression heat pump designed, constructed tested. performance characterized testing specifically created industrial heat pump test infrastructure ECN part TNO able simulate variety process conditions. addition, unit field tested DOW Terneuzen. heat pump designed using modular approach utilizing limited number standardized component configured numerous way cover large share industrial heat pump market. Partner Heinen & Hopman implement necessary measure establishing Dutch manufacturer industrial, steam producing heat pumps. Results Successful completion project result industrial compression heat pump product Dutch manufacturer scale level 1-10 MW produced standardized, modular, flexible, cost effective way us natural refrigerant. product able serve large share industrial heat pump market. such, project contributes economic growth, creation new job heat pump sector increasing competitiveness Dutch industry. Finally, uptake industrial heat pump contributes sustainability Dutch industry large reduction CO2 emission primary energy consumption. July 1, 2021 Development smart solution boost heat integration industry done accelerate heat integration industry? Anton Wemmers ECN part TNO project co-funded subsidy Topsector Energy Ministry Economic Affairs Climate Policy."
COMTA – COMpact modular Thermo Acoustic heat pump,https://ispt.eu/projects/comta/,"COMTA – COMpact modular Thermo Acoustic heat pump UH-30-04 November 1, 2018 develop compact electrically driven thermoacoustic heat (TA) pump technology prepare technical demonstration full scale. industry large consumer energy two-thirds industry’s energy use represented heat. Often high-temperature heat required, heat currently provided burning natural gas. order industry meet climate goal need move low carbon heating systems. One way achieve implementing high temperature heat pumps. heat pumps, however, yet commercially available. COMTA project proposes start using electrically driven thermoacoustic heat pump industrial purposes. deliver heat 200°C cover wide range temperature fixed standardized design. heat pump electrically driven, become completely carbon free fully renewable electricity supply become reality future. COMTA project overall project objective develop compact electrically driven thermoacoustic heat (TA) pump technology prepare technical demonstration full scale. achieved experimental demonstration high COP1 wide temperature interval 100 200°C using waste heat 50-150°C simulated onsite test condition (at DOW Terneuzen utility). single full scale modular design realized serve wide market including (petro)chemical industry, refining, paper & food industry. modular design steam production matched process range 1 10 MW installing one 8 unit piston compressor. Energy saved carbon free heat supply realized utilizing renewable electricity. project coordinated ECN.TNO. partner ISPT, DOW, Bronswerk Heat Transfer Howden Compressors B.V. Aimed Results COMTA proposal serf last stop full scale demonstration project initiated. remaining R&D work serf improve efficiency concern optimizing membrane heat exchangers. addressed mean experimental component testing within existing COMTA test set-up. Integration DOW steam utility onsite testing verify technical feasibility operational conditions. Realization full scale design used verification techno-economic feasibility prepare full scale testing demo projects. development result net primary energy saving potential 97 PJ per year CO2 emission reduction 4.5 million tons/year within sector food, paper & board bulk chemical refinery Netherlands. Major fuel cost saving Dutch industry amounting 4.8 billion Euro realized. future renewable electricity system carbon free electricity would result even higher CO2 emission 9.4 million tons/year. worldwide market value high temperature (steam) TA heat pump equipment installation estimated 227 million euro per year 20 years. Status November 2020 Major development COMTA utilisation industrial piston compressor driver strongly reduced dimension pressure vessel (no resonator applied). development reduce future investment cost heat pump. COMTA heat pump set-up commissioned March 2020 first successful test series executed including recent test saturated steam delivery 168 °C. saturated steam pumped source heat delivered oil circuit 94 °C. compressor ran 1055 rpm dynamic pressure amplitude almost 2.9 bar obtained static pressure 29 bars. internal COP thermoacoustic core amount 41% Carnot efficiency. number however excludes high temperature loss heat exchanger mechanical loss compressor. Outlook thermoacoustic heat pump part originates previous test setup (TASTE) part optimised COMTA condition (lower drive frequency). large increase thermal output expected increase working pressure, optimised heat exchanger new regenerator suitable lower frequency. case even higher steam delivery temperature 200 °C become feasible. Measurement mechanical power delivery piston give insight system loss guidance improvements. February 4, 2021 Carbon-free heat process enabled electrically driven thermoacoustic heat pump industry large consumer energy two-thirds industry’s energy use represented heat. Often high-temperature heat required, currently provided by... May 29, 2019 lower industrial carbon emission mean high temperature heat pump COMTA project proposes thermo-acoustic heat pump solution industry large consumer energy two-thirds industry’s energy use represented by... Jan-Aiso Lycklama Nijeholt"
FLEXSTEAM – Development of heat storage for industrial steam,https://ispt.eu/projects/steam-storing/,"FLEXSTEAM – Development heat storage industrial steam UH-30-02 January 1, 2019 FLEXSTEAM project aim improve way store re-use thermal energy using called ‘Phase Changing Materials’ (PCMs). achieve fully circular economy able close material also energy loops. Re-using, storing upgrading energy essential part creating sustainable system. industry large part energy usage come form heat. Heat buffering important integration heat pump existing industrial processes. focusing efficiency process well replacing fossil resource renewable one able greatly reduce industrial sectors’ dependence fossil energy. FLEXSTEAM project challenge lie storage energy availability sustainable resource run example heat-pumps varies. Storing energy fact one biggest challenge face energy transition varying availability renewable resources. Electrical storage expensive whereas thermal storage achieved relatively cheap using called ‘Phase Changing Materials’ PCM’s. Often composition salt organic materials, PCM’s change solid liquid process store latent heat. way store lot heat small amount volume. Steam storing technology developed used recovery re-use industrial leftover (waste) heat, directly well indirectly use heat pumps. Apart also able increase implementation rate sustainable heat source like geothermal solar energy generate process heat. used effectively efficiently thermal energy storage solution present. FLEXSTEAM project joint exercise TNO (project coordinator), ISPT, Royal Cosun, DOW, TataSteel B.V, Blue Terra Bronswerk. Progress Results Applications thermal storage identified within process TataSteel DOW. TataSteel thermal storage integrated waste heat recovery application, generate steam. storage system creates additional energy cost saving covering mismatch waste heat supply steam demand. dynamic simulation thermal storage system done calculate annual savings, used tool optimizing sizing storage system. DOW thermal storage connected on-site CHP system, enhance flexible operation. technical requirement thermal storage system beyond current possibility PCM concept due higher temperature needed application. study focused general techno-economic feasibility thermal storage, facilitating flex-CHP operation 2030 energy system, fluctuating price electricity increased CO2 taxes. technical development project, address characterization selection suitable PCM, optimizing thermal conductivity PCM, development modular solution PCM element allow industrialized production larger scale. Adipic acid selected low cost thermal storage material. show stable performance 98 cycle repeated melting solidification (Figure 1). melting temperature 150°C used store generate steam 3 bar. thermal conductivity adipic acid enhanced adding graphite it. allows reach charging discharging time range one hour. composite PCM contained sealed tubular elements. thermal performance term charge discharge time element characterized laboratory test adapted application requirement selecting diameter tubes. design laboratory prototype system based conventional shell & tube concept, tube consist PCM filled elements, closely stacked together. PCM thermal system thermally charged applying steam outside tubes, heating melting temperature. discharge mode hot water circulated along tubes, transfer heat generate steam again. prototype design finished construction started. first test system start Q1-2021. Initial test used characterize thermal performance term storage capacity heat transfer rates. Various operating condition applied result used validate thermal system model prototype system. test result performance chart also used input calculating techno-economic feasibility considered application Tatasteel DOW. successful result obtained next step develop pilot project on-site testing. February 9, 2021 Closing energy loop cost-efficient heat storage technology achieve fully circular economy able close material also energy loops. Re-using, storing upgrading energy essential part... March 4, 2019 FLEXSTEAM: Thermal Energy Storage Industry FLEXSTEAM project, kicked 24th January TNO Petten, aim improve way store re-use thermal energy. Robert de Boer"
SPOT: Sustainable PrOcess heaTing,https://ispt.eu/projects/spot-sustainable-process-heating/,"SPOT: Sustainable PrOcess heaTing UH-30-08 January 1, 2020 SPOT project aim significantly reduce use fossil energy use industrial heat least 100 PJ/year 2030. SPOT brings together large consortium knowledge technology providers, energy consultant industrial end-users. consortium analysis high low temperature heat supply reuse technologies. SPOT aim reduce use fossil energy use industrial heat least 100 PJ/year 2030 proving viability fuel cell cogeneration steam electricity production industry testing technical feasibility molten salt technology heat transfer, storage reuse steel chemistry sector Chain technology Firstly, project determine chain technology provide industry effective way producing high temperature heat, ultimately carbon-free fuels. Secondly, viability fuel cell cogeneration steam electricity production industry proven. Thirdly, technical feasibility molten salt technology heat transfer, storage reuse high temperature process steel chemistry sector investigated. Finally, applicability, availability feasibility steam compression technology existing process identify innovation development need assessed. SPOT-project activity matrix Carbon-free fuel Berenschot-Kalavasta provided four cases, ranging local international 2050 scenarios. development industrial sectors, application specific technology production renewable electricity varies strongly scenarios. industrial heat demand 2050 found vary 291 PJ/year 668 PJ/year, depending scenario. Scenarios SPOT project put together based renewable electricity supply wind onshore/offshore solar. addition, nuclear energy added additional scenario. Fuel cell cogeneration CBS data used acquire background information range Combined Heat Power (CHP) technology use Dutch industry. report made describing fuel cell technology used co-generation electricity steam industrial applications. Molten Carbonate Fuel Cells (MCFC) Solid Oxide Fuel Cells (SOFC) identified. future operation fuel cell electrolyser mind, SOFC seems preferred technology. Multiple SOFC manufacture contacted ask interest supplying fuel cell stack micro-CHP system converting steam generation lab testing TNO. Heat storage molten salt experimental facility molten salt heat transfer thermal storage fluid construction TNO facility Petten. test-rig, combined hot air supply system used study property applicability molten salt industrial heating processes. aimed design heat exchanger test high-temperature waste heat conditions. Steam compression Information steam use required condition drying section paper mill collected, steam compression option drying section explored. Furthermore, pilot testing steam compressor technology prepared. Simon Spoelstra TNO"
The Heat Is On,https://ispt.eu/projects/the-heat-is-on/,"Heat HP-50-01 September 1, 2021 Heat aim make process dewatering, drying heat integration efficient. Energy reduction heat driven process realised integration drying technology, ICT, heat pump technologies. many industry 40-80% CO2 emission related heat driven process like separation drying Heat mainly generated fossil fuel Heat integration aim balance heat generation use/reuse expected impact 30% energy reduction 2030 Heat driven process energy intensive industry like agrofood, paper specialty chemicals, 40-80% CO2 emission related energy needed heat driven process like separation drying. Heat mainly generated fossil fuel cascade process high low temperature. Heat integration balancing act generation use/reuse. result, small change achieve energy efficiency one part process, substantial effects. Towards efficient separation drying process THIO parallel effort made increase process efficiency unit operations, efficient separation drying process decrease amount water evaporated increase heat upgrading potential smart process optimisation control digital twins. THIO applies case driven system approach integrating 3 innovation achieve significant saving amount heat needed industry. obtain optimal integral approach, project innovation organized 2 perspectives: Increasing technological readiness levels: Technology development team develop required individual dewatering drying technologies, method concept needed. Increasing innovation readiness levels: Case development team focus realization impact industry partners, integration technological solution total heat reduction plan, ensuring appropriate business model energy infrastructure, trained personnel, process control, etc. integrated system supported accelerated 3rd perspective: Increasing operational readiness levels: Exploitation impact team aim accelerate uptake implementation insight project professional student online learning environment organization Learning Communities. Expected impact: 30% energy reduction Expected impact: 30% energy reduction 2030 average 3 industry sector (paper, agrofood specialty chemicals): >3,0 Mton CO2 reduction 2030 implemented all. THIO aim following impact technical development: Efficient dewatering drying using high solid technology result 10% le water evaporated/dried subsequent energy reduction Combined heat integration drying innovation concept result 50% le fossil fuel consumption drying Smart manufacturing solution result 10% energy saving due improved process control technologies, aim make following impact 3 case industry. amazing project team project cover broad range stakeholder representative industry input scientist researchers. participating company heat driven process paper, agrofood specialty chemical industry, well knowledge, research system integration partner develop technological solution convincing case industry (e.g. finding, designing & testing innovations). November 15, 2022 Technology Carrousel: state-of-the-art heat integration storage technology ISPT, collaboration project 6-25, organised Technology Carrousel supplier state-of-the-art heat technology matched end users. May 10, 2021 Heat reduce CO2 emission integral innovation heat driven processes. February 11, 2021 Overview technology (re-)use, upgrading storage heat help Findest, Institute Sustainable Process Technology made overview heat (re-)use storage technologies. July 10, 2018 Innovatieprogramma’s van ISPT spelen centrale rol bij CO2-vrije industrie Nieuwe innovaties zullen CCS overbodig maken, de industrie geld gaan opleveren en Nederland op de kaart zetten al koploper duurzaamheid. Maurice van den Broek Olivier Claessen Radboud Universiteit Bahadir Saltik University Groningen Tolga Akan TU Eindhoven"
COMPRESORP,https://ispt.eu/projects/compresorp/,"COMPRESORP UH-20-10 Completed April 1, 2015 Upgrading low temperature waste water stream separation process compression resorption heat pumps. Goal goal COMPRESORP project upgrade low temperature waste stream process industry (e.g. cooling water cooling towers) valuable utility stream making use compression-resorption heat pump operate wet regime. Thermal energy (heat) represents large part global energy usage 43% energy used industrial applications. Ultimately, 20-50% energy used lost via waste heat contained hot exhaust gas liquid streams. Nevertheless share waste heat recovery (upgraded energy) within total energy used still negligible. Compression Resorption heat Pumps (CRHP) used upgrade waste water stream stream applicable heating cooling purposes. way rest heat available inthese stream re-used separation processes. Waste water stream temperature range 35 60°C partly cooled 5°C partly heated temperature 110°C. product flow higher exergy used separation process need cooling / heating respectively. Limiting commercial introduction cycle practice unavailability compressor operate operating condition required cycles. Objective focus project development compressor suitable operating condition compression resorption cycle integration cycle. Simplified P&ID experimental set-up Twin screw compressor compressor prototype suitable operating condition compression-resorption heat pump cycle heat recovery designed experimentally tested. impact adding small amount CO2 working fluid investigated. Indicating ca. 5% improvement COP. COP CRHPs heating pressurized water 90 130 °C (a) 60 140 °C (b). Solid line apply NH3-H2O system dotted line apply NH3 -H2O-CO2 systems. thermodynamic model developed twin-screw wet compressor allows localization major irreversibility loss compression process CRHPs. Main irreversibility loss compression experimental set-up constructed TU Delft test performance wet compressor prototype. summary result found Gudjonsdottir PhD thesis. June 19, 2020 Compression-resorption heat pump save energy COMPRESORP project investigated upgrading low-temperature waste stream process industry valuable utility streams. so, used compression-resorption heat pump operate the... March 2, 2020 Industrial heat pump important energy transition name Vilborg Guðjónsdóttir, I‘m 29 year old research subject Compression-Resorption Heat Pumps Delft University Technology (TU Delft). Articles / Publications COMPRESORP: Upgrading Waste Heat Streams Wet Compression (in Dutch) Author: Agatha van Oosten, Kees Biesheuvel, Vilborg Gudjonsdottir Entropy production minimization CRHP Author: Anton A. Kiss, Carlos A. Infante Ferreira, Stefan P. Aarts, Vilborg Gudjonsdottir Absorption CO2-NH3-H2O mixture mini-channel heat exchanger Author: Anton A. Kiss, Carlos A. Infante Ferreira, Glenn Rexwinkel, Liang Shi, Vilborg Gudjonsdottir project co-funded TKI-E&I supplementary grant 'TKI- Toeslag' Topconsortia Knowledge Innovation (TKI’s) Ministry Economic Affairs Climate Policy."
Steam and condensate quality,https://ispt.eu/projects/condensate-quality/,"Steam condensate quality WP-20-11 January 1, 2017 project focus requiering better insight distribution behaviour conditioning chemical used steam-water cycle condensate polishing. Process industry strive efficient use water, saving energy reducing thermal load effluent discharged surface water. requires better insight distribution behaviour conditioning chemical (and breakdown products) used steam-water cycle condensate polishing. Project goal project aim threefold: Increased insight fate conditioning chemical (and resulting protection) stream-water cycles. Improved steam conditioning condensate polishing treatment, condensate returned. Improved knowledge harmful effect different organic carbon (TOC) components, relation boiler feed guidelines. Technical work package project three specific technical work packages. first work package aim elucidate fate boiler feed water conditioning chemical going steam cycle, including formation breakdown products, distribution system corresponding long-term impact metallurgy system. second work package aim improved option treating “off-spec” condensates, well heavily impaired process condensates, increase water usage efficiency plant. third work package link insight first work package corrosion measurements. improve insight required boiler feed water treatment (especially respect TOC removal) conditioning improved protection plant. scope includes filming neutralizing amine circuit operating elevated temperature/ pressure (350-550 °C, 30-130 bar). Expected result project result better description modelling behavior, distribution effect (in combination proper monitoring) different amine organic pollutants, well respective breakdown product steam/ condensate circuit elevated temperatures. project also delivers improved treatment option “off-spec” heavily impaired condensates, develop robust Condensate Quality Assurance system. August 25, 2022 Towards improvement steam-water cycle achieve better insight distribution behavior conditioning chemical steam-water cycles? January 31, 2022 Steam Condensate Quality project report final report Steam Condensate Quality project available. report offer insight film-forming amine conditioning chemical behave. evaluates breakdown products... December 16, 2020 NSP17 Water Webinar: dazzling look future Officially water technology science field yet – except Netherlands. Rightly so, global warming increasingly cause rising seas, draught water shortages. the..."
ENCORE – nExt geNeration COmpRession hEat pump,https://ispt.eu/projects/encore/,"ENCORE – nExt geNeration COmpRession hEat pump UH-30-03 ENCORE project, aim significantly increase uptake heat pump industry. achieve this, project demonstrate enhancement compression heat pump performance using pilot scale test unit. demonstrated enhancement compression heat pump performance Results pilot scale test unit look wider market introduction ENCORE project consists different part altogether yield series technological improvement high temperature compression heat pumps. project result describe impact various change made regular compression heat pump. also provide insight company benefit possible challenge applying heat pump processes. result allow high temperature compression heat pump make next step towards wider market introduction. consortium consists ECN.TNO coordinator partners: Recoy, ISPT, Bronswerk Heat Transfer, Tata Steel, DOW, SmurfitKappa, DSM LWM. result consist of: Technological improvement high temperature compression heat pump (ex. new working media, innovative cycle component dynamic control) Reports delivered describing impact various change regular heat pump insight company regarding feasibility challenge applying high temperature compression heat pumps. Heat Integration Platform April 4, 2019 next step industrial compression heat pump Heat pump important sustainable industry. upgrade waste heat process heat, powered using sustainable energy sources."
LESSON – Oil free compressor for ammonia based high temperature heat pumps,https://ispt.eu/projects/lesson/,"LESSON – Oil free compressor ammonia based high temperature heat pump UH-30-07 July 1, 2019 Wet compression allows close isothermal condition compression resulting higher compression isentropic efficiencies. prevents operation superheating zone working fluid heat pump associated large energy loss related unacceptably high discharge temperature cause problem compressor high temperature heat pumps. project frame Upgrading Low Temperature Waste Water Streams Separation Processes Compression (UH-20-10) project, currently progress TU Delft, AtlasCopco created prototype oil free wet compressor. end project experiment determine performance high temperature heat pump condition available showing potential. data collected reported UH-20-10 concern condition inlet outlet nozzle compressor. data allow validation global performance model developed allow identification source losses. Oil free compressor ammonia based high temperature heat pump proposal aim modify prototype variation internal pressure cavity volume experimentally determined. data allow detailed identification source loss compression process. way model developed project UH-20-10 validated detail needed adjusted represent different source loss accurately. The, way improved, compressor model integrated complete compression resorption heat pump model predict heat pump performance high temperature applications. parallel compression resorption heat pump designed paper integrates lesson learned compressor prototype modeling next generation commercial compressor adapted purpose also integrates component heat pump. designed heat pump capacity sized similar present compressor prototype 250 kW heating power. system operated ammonia concentration 30% ammonia water solution. Compressor inlet condition around 60 °C (this corresponds heat source 65 °C) vapour inlet quality range 50 90 %. experimental data show clearly larger amount liquid suction port (lower vapour quality) guarantee sealing leakage path allow higher pressure ratios. Left: Pressure ratio function compressor inlet quality; Right: temperature lift across compressor. figure rotational speed varied. figure right hand side show vapour inlet quality affect temperature rise working fluid pass compressor. Discharge temperature 125 °C heat could delivered application 120 °C. December 3, 2020 Lessons learned oil-free wet compressor recently completed LESSON project identified source loss oil-free wet compressor prototype built previous project. Carlos Infante Ferreira TU Delft Vilborg Gudjonsdottir TU Delft LESSON: Oil free compressor ammonia based high temperature heat pump (in Dutch) Author: Carlos A. Infante Ferreira, Vilborg Gudjonsdottir"
